id,set,bpm,patternAmount,patternMode,setRepeat
0,0,120,4,auto,False
0,1,120,4,auto,False
0,2,120,4,auto,False
0,3,120,4,auto,False
0,4,120,4,auto,False
0,5,120,4,auto,False
0,6,120,4,auto,False
0,7,120,4,auto,False
0,8,120,4,auto,False
0,9,120,4,auto,False
0,10,120,4,auto,False
0,11,120,4,auto,False
0,12,120,4,auto,False
0,13,120,4,auto,False
0,14,120,4,auto,False
0,15,120,4,auto,False
1,122,16,auto,,
2,85,8,auto,,
3,120,4,auto,,
4,120,4,auto,,
5,120,4,auto,,
6,120,4,auto,,
7,120,4,auto,,
8,120,4,auto,,
9,120,4,auto,,
10,120,4,auto,,
11,120,4,auto,,
12,120,4,auto,,
13,120,4,auto,,
14,120,4,auto,,
15,120,4,auto,,
